SchCode,SchName,SchType,NumTested,ProfLang,ProfMath,DataVERSION
202,Aiton Elementary School,Elementary,72,5.55555559694767,15.2777776122093,DC PARCC 2017-18
203,Amidon-Bowen Elementary School,Elementary,147,16.326530277729,10.0671142339706,DC PARCC 2017-18
450,Anacostia High School,High,67,4.47761192917824,1.42857143655419,DC PARCC 2017-18
452,Ballou High School,High,180,2.77777779847383,0.497512426227331,DC PARCC 2017-18
204,Bancroft Elementary School @ Sharpe,Elementary,213,34.272301197052,39.9061024188995,DC PARCC 2017-18
205,Barnard Elementary School,Elementary,224,38.3928567171097,39.7321432828903,DC PARCC 2017-18
206,Beers Elementary School,Elementary,158,27.8481006622314,22.1518993377686,DC PARCC 2017-18
402,Benjamin Banneker High School,High,112,91.9642865657806,69.5652186870575,DC PARCC 2017-18
212,Brent Elementary School,Elementary,157,61.7834389209747,68.7898099422455,DC PARCC 2017-18
213,Brightwood Education Campus,Elementary,375,24.2666661739349,33.8666677474976,DC PARCC 2017-18
347,Brookland Middle School,Middle,222,12.6126125454903,4.95495498180389,DC PARCC 2017-18
404,Browne Education Campus,Middle,149,15.4362410306931,15.3333336114883,DC PARCC 2017-18
296,Bruce-Monroe Elementary School @ Park View,Elementary,167,34.730538725853,35.9281450510025,DC PARCC 2017-18
219,Bunker Hill Elementary School,Elementary,67,17.910447716713,25.3731340169907,DC PARCC 2017-18
220,Burroughs Elementary School,Elementary,83,22.891566157341,28.0487805604935,DC PARCC 2017-18
221,Burrville Elementary School,Elementary,87,17.2413796186447,24.1758242249489,DC PARCC 2017-18
247,C.W. Harris Elementary School,Elementary,96,8.33333358168602,6.25,DC PARCC 2017-18
360,Capitol Hill Montessori School @ Logan,Middle,121,36.3636374473572,31.4049601554871,DC PARCC 2017-18
454,Cardozo Education Campus,High,289,12.1107265353203,2.70270276814699,DC PARCC 2017-18
224,Cleveland Elementary School,Elementary,109,31.1926603317261,33.9449554681778,DC PARCC 2017-18
442,Columbia Heights Education Campus,High,495,25.0505059957504,20.3160271048546,DC PARCC 2017-18
455,Coolidge High School,High,62,4.83870953321457,0,DC PARCC 2017-18
405,Deal Middle School,Middle,1423,76.1068165302277,63.974720239639304,DC PARCC 2017-18
349,Dorothy I. Height Elementary School,Elementary,146,41.7808204889297,33.5616439580917,DC PARCC 2017-18
231,Drew Elementary School,Elementary,117,11.9658119976521,16.2393167614937,DC PARCC 2017-18
471,Duke Ellington School of the Arts,High,156,48.7179487943649,15.7142862677574,DC PARCC 2017-18
467,Dunbar High School,High,109,6.42201825976372,2.27272734045982,DC PARCC 2017-18
457,Eastern High School,High,189,17.4603179097176,1.80722884833813,DC PARCC 2017-18
232,Eaton Elementary School,Elementary,212,68.8679218292236,75,DC PARCC 2017-18
407,Eliot-Hine Middle School,Middle,159,12.5786170363426,4.45859879255295,DC PARCC 2017-18
238,Garfield Elementary School,Elementary,112,13.3928567171097,14.2857149243355,DC PARCC 2017-18
239,Garrison Elementary School,Elementary,77,12.9870131611824,23.3766227960587,DC PARCC 2017-18
227,H.D. Cooke Elementary School,Elementary,137,28.4671545028687,51.8248200416565,DC PARCC 2017-18
464,H.D. Woodson High School,High,112,10.7142858207226,0.934579409658909,DC PARCC 2017-18
246,Hardy Middle School,Middle,362,57.1823179721832,42.7777767181396,DC PARCC 2017-18
413,Hart Middle School,Middle,310,6.45161271095276,3.21543402969837,DC PARCC 2017-18
258,Hearst Elementary School,Elementary,110,59.0909063816071,63.6363625526428,DC PARCC 2017-18
249,Hendley Elementary School,Elementary,160,6.25,8.74999985098839,DC PARCC 2017-18
251,Houston Elementary School,Elementary,94,13.8297870755196,13.8297870755196,DC PARCC 2017-18
252,Hyde-Addison Elementary School @ Meyer,Elementary,91,69.2307710647583,70.652174949646,DC PARCC 2017-18
339,J.O. Wilson Elementary School,Elementary,178,32.5842708349228,26.9662916660309,DC PARCC 2017-18
254,Janney Elementary School,Elementary,334,79.3413162231445,81.4371228218079,DC PARCC 2017-18
433,Jefferson Middle School Academy,Middle,290,31.7241370677948,17.6870748400688,DC PARCC 2017-18
416,Johnson Middle School,Middle,235,11.9148939847946,3.01724132150412,DC PARCC 2017-18
421,Kelly Miller Middle School,Middle,354,15.8192083239555,4.81586419045925,DC PARCC 2017-18
257,Ketcham Elementary School,Elementary,114,19.2982450127602,44.7368413209915,DC PARCC 2017-18
272,Key Elementary School,Elementary,156,80.1282048225403,73.7179458141327,DC PARCC 2017-18
259,Kimball Elementary School @ Davis,Elementary,137,8.02919715642929,16.7883217334747,DC PARCC 2017-18
344,King Elementary School,Elementary,115,14.7826090455055,20.0000002980232,DC PARCC 2017-18
417,Kramer Middle School,Middle,181,2.76243090629578,1.12359551712871,DC PARCC 2017-18
261,Lafayette Elementary School,Elementary,306,73.8562107086182,79.7385632991791,DC PARCC 2017-18
262,Langdon Elementary School,Elementary,111,36.9369357824326,22.5225225090981,DC PARCC 2017-18
370,Langley Elementary School,Elementary,96,10.416666418314,8.33333358168602,DC PARCC 2017-18
264,LaSalle-Backus Education Campus,Middle,193,19.1709846258163,17.1875,DC PARCC 2017-18
266,Leckie Education Campus,Middle,246,26.4227628707886,15.1639342308044,DC PARCC 2017-18
271,Ludlow-Taylor Elementary School,Elementary,132,71.9696998596191,50.7575750350952,DC PARCC 2017-18
884,Luke C. Moore High School,High,12,0,0,DC PARCC 2017-18
420,MacFarland Middle School,Middle,129,24.8062014579773,16.2790700793266,DC PARCC 2017-18
308,Malcolm X Elementary School @ Green,Elementary,93,13.9784947037697,10.7526883482933,DC PARCC 2017-18
273,Mann Elementary School,Elementary,153,75.1634001731873,75.1634001731873,DC PARCC 2017-18
284,Marie Reed Elementary School,Elementary,143,54.5454561710358,46.8531459569931,DC PARCC 2017-18
274,Maury Elementary School @ Eliot-Hine,Elementary,140,68.5714304447174,69.9999988079071,DC PARCC 2017-18
435,McKinley Middle School,Middle,212,22.641509771347,6.60377368330956,DC PARCC 2017-18
458,McKinley Technology High School,High,143,69.2307710647583,23.3333334326744,DC PARCC 2017-18
280,Miner Elementary School,Elementary,105,11.4285714924335,15.2380958199501,DC PARCC 2017-18
285,Moten Elementary School,Elementary,148,7.43243247270584,3.42465750873089,DC PARCC 2017-18
287,Murch Elementary School @ UDC,Elementary,258,70.5426335334778,61.6279065608978,DC PARCC 2017-18
288,Nalle Elementary School,Elementary,129,12.4031007289886,27.1317839622498,DC PARCC 2017-18
290,Noyes Elementary School,Elementary,66,15.1515156030655,21.2121218442917,DC PARCC 2017-18
291,Orr Elementary School,Elementary,144,15.9722223877907,11.8055552244186,DC PARCC 2017-18
292,Oyster-Adams Bilingual School,Middle,399,71.1779475212097,61.2090706825256,DC PARCC 2017-18
294,Patterson Elementary School,Elementary,133,7.51879662275314,12.7819553017616,DC PARCC 2017-18
295,Payne Elementary School,Elementary,117,17.9487183690071,22.2222223877907,DC PARCC 2017-18
478,"Phelps Architecture, Construction and Engineering High School",High,79,15.1898726820946,0,DC PARCC 2017-18
299,Plummer Elementary School,Elementary,144,14.583332836628,14.583332836628,DC PARCC 2017-18
300,Powell Elementary School,Elementary,213,17.3708915710449,29.7169804573059,DC PARCC 2017-18
316,Randle Highlands Elementary School,Elementary,120,11.6666667163372,15.8333331346512,DC PARCC 2017-18
302,Raymond Education Campus,Middle,288,26.7361104488373,21.2543547153473,DC PARCC 2017-18
436,Ron Brown College Preparatory High School,High,96,13.541667163372,1.09890112653375,DC PARCC 2017-18
459,Roosevelt High School,High,170,7.64705911278725,2.99401190131903,DC PARCC 2017-18
456,Roosevelt STAY High School,High,20,0,0,DC PARCC 2017-18
305,Ross Elementary School,Elementary,61,88.52459192276,81.9672107696533,DC PARCC 2017-18
307,Savoy Elementary School,Elementary,121,12.3966939747334,10.924369841814,DC PARCC 2017-18
409,School Without Walls @ Francis-Stevens,Middle,261,39.4636005163193,42.9118782281876,DC PARCC 2017-18
466,School Without Walls High School,High,135,94.0740764141083,73.0158746242523,DC PARCC 2017-18
943,School-Within-School @ Goding,Elementary,102,76.4705896377563,76.4705896377563,DC PARCC 2017-18
309,Seaton Elementary School,Elementary,113,23.8938048481941,30.0884962081909,DC PARCC 2017-18
313,Shepherd Elementary School,Elementary,134,54.4776141643524,56.7164182662964,DC PARCC 2017-18
315,Simon Elementary School,Elementary,121,14.8760333657265,9.91735532879829,DC PARCC 2017-18
322,Smothers Elementary School,Elementary,73,4.10958901047707,9.58904102444649,DC PARCC 2017-18
427,Sousa Middle School,Middle,217,9.67741906642914,0.921658985316753,DC PARCC 2017-18
319,Stanton Elementary School,Elementary,211,9.95260700583458,18.0094793438911,DC PARCC 2017-18
321,Stoddert Elementary School,Elementary,175,75.9999990463257,82.7586233615875,DC PARCC 2017-18
428,Stuart-Hobson Middle School (Capitol Hill Cluster),Middle,409,45.4767733812332,21.8673214316368,DC PARCC 2017-18
324,Takoma Education Campus,Middle,239,22.594141960144,13.0801692605019,DC PARCC 2017-18
325,Thomas Elementary School,Elementary,126,8.73015895485878,4.80000004172325,DC PARCC 2017-18
326,Thomson Elementary School,Elementary,102,21.5686276555061,32.3529422283173,DC PARCC 2017-18
327,Truesdell Education Campus,Elementary,374,37.9679143428802,25.4010707139969,DC PARCC 2017-18
328,Tubman Elementary School,Elementary,199,19.0954774618149,32.323232293129,DC PARCC 2017-18
329,Turner Elementary School,Elementary,180,17.7777782082558,16.0220995545387,DC PARCC 2017-18
330,Tyler Elementary School,Elementary,173,24.8554915189743,20.8092480897903,DC PARCC 2017-18
332,Walker-Jones Education Campus,Middle,190,16.8421059846878,15.263158082962,DC PARCC 2017-18
474,Washington Metropolitan High School,High,23,0,0,DC PARCC 2017-18
333,Watkins Elementary School (Capitol Hill Cluster),Elementary,253,49.0118563175201,49.2063492536545,DC PARCC 2017-18
336,West Education Campus,Middle,172,34.8837196826935,27.9069781303406,DC PARCC 2017-18
335,Wheatley Education Campus,Middle,154,18.831168115139,8.49673226475716,DC PARCC 2017-18
338,Whittier Education Campus,Middle,152,26.3157904148102,29.6052634716034,DC PARCC 2017-18
463,Woodrow Wilson High School,High,421,55.1068902015686,30.1829278469086,DC PARCC 2017-18
