Title,Release,NumSubjects,SubjectName,SubjectType,SubjectRace,PersonOfColor,SubjectSex,LeadActor,Period
1987,2014,1,Ricardo Trogi,Other,White,0,Male,Jean-Carl Boucher,2000--2014
American Sniper,2014,1,Chris Kyle,Military,NA,0,Male,Bradley Cooper,2000--2014
Big Eyes,2014,1,Margaret Keane,Artist,White,0,Female,Amy Adams,2000--2014
Cesar Chavez,2014,1,Cesar Chavez,Activist,Hispanic (Latino),1,Male,Michael PeÌ±a,2000--2014
Desert Dancer,2014,1,Afshin Ghaffarian,Artist,Middle Eastern,1,Male,Reece Ritchie,2000--2014
Digging Up the Marrow,2014,1,Adam Green,Other,NA,0,Male,Adam Green,2000--2014
Exodus: Gods and Kings,2014,1,Moses,Historical,Middle Eastern (White),0,Male,Christian Bale,2000--2014
Foxcatcher,2014,1,Mark Schultz,Athlete,White,0,Male,Channing Tatum,2000--2014
Get on Up,2014,1,James Brown,Singer,African American,1,Male,Chadwick Boseman,2000--2014
Grace of Monaco,2014,1,Grace Kelly,Actress,White,0,Male,Nicole Kidman,2000--2014
Jamesy Boy,2014,1,James Burns,Criminal,NA,0,Male,Spencer Lofranco,2000--2014
Jersey Boys,2014,4,Bob Gaudio,Musician,White,0,Male,Erich Bergen,2000--2014
Jersey Boys,2014,4,Frankie Valli,Musician,White,0,Male,John Lloyd Young,2000--2014
Jersey Boys,2014,4,Nick Massi,Musician,White,0,Male,Michael Lomenda,2000--2014
Jersey Boys,2014,4,Tommy DeVito,Musician,White,0,Male,Vincent Piazza,2000--2014
Kid Cannabis,2014,1,Nate Norman,Criminal,NA,0,Male,Jonathan Daniel Brown,2000--2014
Kill the Messenger,2014,1,Gary Webb,Media,NA,0,Male,Jeremy Renner,2000--2014
Love & Mercy,2014,1,Brian Wilson,Musician,White,0,Male,John Cusack,2000--2014
Low Down,2014,1,Joe Albany,Musician,White,0,Male,John Hawkes,2000--2014
Million Dollar Arm,2014,1,J. B. Bernstein,Athlete,White,0,Male,Jon Hamm,2000--2014
Mr. Turner,2014,1,J.M.W. Turner,Artist,White,0,Male,Timothy Spall,2000--2014
Ragamuffin,2014,1,Rich Mullins,Singer,White,0,Male,David Schultz,2000--2014
Rosewater,2014,1,Maziar Bahari,Media,Middle Eastern,1,Male,Gael GarcÌ_a Bernal,2000--2014
Selma,2014,1,"Martin Luther King, Jr",Activist,African American,1,Male,David Oyelowo,2000--2014
Set Fire to the Stars,2014,1,Dylan Thomas,Author (poet),White,0,Male,Celyn Jones,2000--2014
Son of God,2014,1,Jesus,Historical,Middle Eastern (White),0,Male,Diogo Morgado,2000--2014
Testament of Youth,2014,1,Vera Brittain,Other,NA,0,Female,Alicia Vikander,2000--2014
The Better Angels,2014,1,Abraham Lincoln,World leader,White,0,Male,Jason Clarke,2000--2014
The Brittany Murphy Story,2014,1,Brittany Murphy,Actress,White,0,Female,Amanda Fuller,2000--2014
The Imitation Game,2014,1,Alan Turing,Academic,White,0,Male,Benedict Cumberbatch,2000--2014
The Theory of Everything,2014,1,Steven Hawking,Academic,White,0,Male,Eddie Redmayne,2000--2014
Unbroken,2014,1,Louis Zamperini,Athlete / military,White,0,Male,Jack O'Connell,2000--2014
Wild,2014,1,Cheryl Strayed,Other,NA,0,Female,Reese Witherspoon,2000--2014
12 Years a Slave,2013,1,Solomon Northup,Other,African American,1,Male,Chiwetel Ejiofor,2000--2014
42,2013,1,Jackie Robinson,Athlete,African American,1,Male,Chadwick Boseman,2000--2014
Blue Caprice,2013,1,John Allen Muhammad,Criminal,African American,1,Male,Isaiah Washington,2000--2014
Burning Blue,2013,1,DMW Greer,Military,NA,0,Male,Trent Ford,2000--2014
Captain Phillips,2013,1,Richard Phillips,Military,NA,0,Male,Tom Hanks,2000--2014
Counterpunch,2013,1,Alvaro Orlando,Athlete,Hispanic (Latino),1,Male,Alvaro Orlando,2000--2014
Dallas Buyers Club,2013,1,Ron Woodroof,Activist,NA,0,Male,Matthew McConaughey,2000--2014
Devil's Knot,2013,3,Damien Echols,Criminal,NA,0,Male,James Hamrick,2000--2014
Devil's Knot,2013,3,Jason Baldwin,Criminal,NA,0,Male,Seth Meriwether,2000--2014
Devil's Knot,2013,3,"Jessie Misskelley, Jr.",Criminal,NA,0,Male,Kristopher Higgins,2000--2014
Diana,2013,1,Princess Diana,Other,White,0,Female,Naomi Watts,2000--2014
Fruitvale Station,2013,1,Oscar Grant III,Other,African American,1,Male,Michael B. Jordan,2000--2014
iSteve,2013,1,Steve Jobs,Other,Multi racial,1,Male,Justin Long,2000--2014
Jappeloup,2013,1,"Pierre Durand, Jr.",Athlete,White,0,Male,Guillaume Canet,2000--2014
Jimi: All Is by My Side,2013,1,Jimi Hendrix,Musician,Multi racial,1,Male,AndrÌ© Benjamin,2000--2014
Jobs,2013,1,Steve Jobs,Other,Multi racial,1,Male,Ashton Kutcher,2000--2014
Kill Your Darlings,2013,1,Allen Ginsberg,Author,White,0,Male,Daniel Radcliffe,2000--2014
Lee Daniels' The Butler,2013,1,Cecil Gaines,Other,African American,1,Male,Forest Whitaker,2000--2014
Lone Survivor,2013,1,Marcus Luttrell,Military,NA,0,Male,Mark Wahlberg,2000--2014
Louis Cyr,2013,1,Louis Cyr,Athlete,White,0,Male,Antoine Bertrand,2000--2014
Lovelace,2013,1,Linda Lovelace,Actress,White,0,Female,Amanda Seyfried,2000--2014
Mandela: Long Walk to Freedom,2013,1,Nelson Mandela,World leader,African,1,Male,Idris Elba,2000--2014
One Chance,2013,1,Paul Potts,Musician,NA,0,Male,James Corden,2000--2014
Philomena,2013,1,Philomena Lee,Other,White,0,Female,Judi Dench,2000--2014
Rush,2013,2,James Hunt,Athlete,White,0,Male,Chris Hemsworth,2000--2014
Rush,2013,2,Niki Lauda,Athlete,White,0,Male,Daniel BrÌ_hl,2000--2014
Saving Mr. Banks,2013,2,Walt Disney,Other,White,0,Male,Tom Hanks,2000--2014
Saving Mr. Banks,2013,2,P.L. Travers,Author,White,0,Female,Emma Thompson,2000--2014
The Fifth Estate,2013,1,Julian Assange,Other,White,0,Male,Benedict Cumberbatch,2000--2014
The Frozen Ground,2013,2,Jack Halcombe,Other,NA,0,Male,Nicolas Cage,2000--2014
The Frozen Ground,2013,2,Robert Hansen,Criminal,White,0,Male,John Cusack,2000--2014
The Invisible Woman,2013,1,Charles Dickens,Author,White,0,Male,Ralph Fiennes,2000--2014
The Last of Robin Hood,2013,1,Errol Flynn,Actor,White,0,Male,Kevin Kline,2000--2014
The Look of Love,2013,1,Paul Raymond,Other,NA,0,Male,Steve Coogan,2000--2014
The Railway Man,2013,1,Eric Lomax,Military,NA,0,Male,Colin Firth,2000--2014
The Wolf of Wall Street,2013,1,Jordan Belfort,Criminal,NA,0,Male,Leonardo DiCaprio,2000--2014
Chasing Mavericks,2012,1,Jay Moriarity,Athlete,NA,0,Male,Jonny Weston,2000--2014
Goltzius and the Pelican Company,2012,1,Hendrik Goltzius,Artist,White,0,Male,Ramsey Nasr,2000--2014
Good Vibrations,2012,1,Terri Hooley,Musician,NA,0,Male,Richard Dormer,2000--2014
Hitchcock,2012,2,Alfred Hitchcock,Other,White,0,Male,Anthony Hopkins,2000--2014
Hitchcock,2012,2,Alma Reville,Other,White,0,Female,Helen Mirren,2000--2014
Hyde Park on Hudson,2012,2,Franklin Delano Roosevelt,World leader,White,0,Male,Bill Murray,2000--2014
Hyde Park on Hudson,2012,2,Margaret Suckley,Other,NA,0,Female,Laura Linney,2000--2014
Lincoln,2012,1,Abraham Lincoln,World leader,White,0,Male,Daniel Day-Lewis,2000--2014
The Color of Time,2012,1,CK Williams,Author,NA,0,Male,James Franco,2000--2014
The Iceman,2012,1,Richard Kuklinski,Criminal,White,0,Male,Michael Shannon,2000--2014
The Last Ride,2012,1,Hank Williams,Musician,NA,0,Male,Henry Thomas,2000--2014
The Sessions,2012,1,Mark O'Brien,Medicine,NA,0,Male,John Hawkes,2000--2014
To Write Love on Her Arms,2012,1,Renee Yohe,Other,NA,0,Female,Kat Dennings,2000--2014
A Dangerous Method,2011,3,Carl Gustav Jung,Academic,White,0,Male,Michael Fassbender,2000--2014
A Dangerous Method,2011,3,Sigmund Freud,Academic,White,0,Male,Viggo Mortensen,2000--2014
A Dangerous Method,2011,3,Sabina Spielrein,Academic,White,0,Female,Keira Knightley,2000--2014
J. Edgar,2011,1,J. Edgar Hoover,Government,White,0,Male,Leonardo DiCaprio,2000--2014
Kill the Irishman,2011,1,Danny Greene,Criminal,White,0,Male,Ray Stevenson,2000--2014
Machine Gun Preacher,2011,1,Sam Childers,Other,White,0,Male,Gerard Butler,2000--2014
Moneyball,2011,1,Billy Beane,Athlete,White,0,Male,Brad Pitt,2000--2014
My Week with Marilyn,2011,1,Marilyn Monroe,Actress,NA,0,Female,Michelle Williams,2000--2014
Soul Surfer,2011,1,Bethany Hamilton,Athlete,NA,0,Female,AnnaSophia Robb,2000--2014
The Broken Tower,2011,1,Harold Hart Crane,Author (poet),NA,0,Male,James Franco,2000--2014
The Iron Lady,2011,1,Margaret Thatcher,World leader,White,0,Female,Meryl Streep,2000--2014
The Lady,2011,1,Aung San Suu Kyi,Activist,Asian,1,Female,Michelle Yeoh,2000--2014
Winnie Mandela,2011,1,Winnie Mandela,Government,African,1,Female,Jennifer Hudson,2000--2014
127 Hours,2010,1,Aron Ralston,Athlete,NA,0,Male,James Franco,2000--2014
Casino Jack,2010,1,Jack Abramoff,Other,NA,0,Male,Kevin Spacey,2000--2014
Conviction,2010,1,Betty Anne Waters,Other,NA,0,Female,Hilary Swank,2000--2014
Fair Game,2010,1,Valerie Plame,Government,White,0,Female,Naomi Watts,2000--2014
Frankie & Alice,2010,1,Frankie Murdoch,Other,African American,1,Female,Halle Berry,2000--2014
Howl,2010,1,Allen Ginsberg,Author,White,0,Male,James Franco,2000--2014
Mr. Nice,2010,1,Howard Marks,Criminal,NA,0,Male,Rhys Ifans,2000--2014
Sex & Drugs & Rock & Roll,2010,1,Ian Dury,Musician,NA,0,Male,Andy Serkis,2000--2014
The 5th Quarter,2010,1,Jon Abbate,Athlete,NA,0,Male,Ryan Merriman,2000--2014
The Bang Bang Club,2010,4,Greg Marinovich,Media,NA,0,Male,NA,2000--2014
The Bang Bang Club,2010,4,JoÌ£o Silva,Media,White,0,Male,NA,2000--2014
The Bang Bang Club,2010,4,Ken Oosterbroek,Media,NA,0,Male,NA,2000--2014
The Bang Bang Club,2010,4,Kevin Carter,Media,White,0,Male,Taylor Kitsch,2000--2014
The Chameleon,2010,1,FrÌ©dÌ©ric Fortin,Criminal,Multi racial,1,Male,Marc-AndrÌ© Grondin,2000--2014
The Fighter,2010,1,Micky Ward,Athlete,White,0,Male,Mark Wahlberg,2000--2014
The First Grader,2010,1,Kimani Ng‰Ûªang‰Ûªa Maruge,Other,African,1,Male,Oliver Litondo,2000--2014
The Hammer,2010,1,Matt Hamill,Athlete,NA,0,Male,Russell Harvard,2000--2014
The King's Speech,2010,1,King George VI,Historical,White,0,Male,Colin Firth,2000--2014
The Runaways,2010,2,Joan Jett,Musician,White,0,Female,Kristen Stewart,2000--2014
The Runaways,2010,2,Cherie Currie,Musician,NA,0,Female,Dakota Fanning,2000--2014
The Social Network,2010,1,Mark Zuckerberg,Other,NA,0,Male,Jesse Eisenberg,2000--2014
The Whistleblower,2010,1,Kathryn Bolkovac,Other,White,0,Female,Rachel Weisz,2000--2014
VIPs,2010,1,Marcelo Nascimento da Rocha,Criminal,White,0,Male,Wagner Moura,2000--2014
Amelia,2009,1,Amelia Earhart,Other,White,0,Female,Hilary Swank,2000--2014
Bright Star,2009,2,John Keats,Author (poet),White,0,Male,Ben Whishaw,2000--2014
Bright Star,2009,2,Fanny Brawne,Other,NA,0,Female,Abbie Cornish,2000--2014
Creation,2009,1,Charles Darwin,Academic,NA,0,Male,Paul Bettany,2000--2014
Desert Flower,2009,1,Waris Dirie,Activist,African,1,Female,Soraya Omar-Scego (young) and Liya Kebede (older),2000--2014
Everyman's War,2009,1,Don Smith,Military,NA,0,Male,Cole Carson,2000--2014
I Love You Phillip Morris,2009,1,Steven Russell,Criminal,NA,0,Male,Jim Carrey,2000--2014
Invictus,2009,2,Nelson Mandela,World leader,African,1,Male,Morgan Freeman,2000--2014
Invictus,2009,2,FranÌ¤ois Pienaar,Athlete,White,0,Male,Matt Damon,2000--2014
Jean Charles,2009,1,Jean Charles de Menezes,Other,White,0,Male,Selton Mello,2000--2014
Julie & Julia,2009,2,Julia Child,Other,NA,0,Female,Meryl Streep,2000--2014
Julie & Julia,2009,2,Julia Powell,Other,NA,0,Female,Amy Adams,2000--2014
My One and Only,2009,1,George Hamilton,Other,White,0,Male,Logan Lerman,2000--2014
Notorious,2009,1,Christopher Wallace (Biggie Smalls),Musician,Caribbean,1,Male,Jamal Woolard,2000--2014
Nowhere Boy,2009,1,John Lennon,Musician,White,0,Male,Aaron Taylor-Johnson,2000--2014
Public Enemies,2009,1,John Dillinger,Criminal,NA,0,Male,Johnny Depp,2000--2014
The Blind Side,2009,1,Michael Oher,Athlete,African American,1,Male,Quinton Aaron,2000--2014
The Countess,2009,1,ErzsÌ©bet BÌÁthory,Historical,White,0,Female,Julie Delpy,2000--2014
The Damned United,2009,1,Brian Clough,Athlete,NA,0,Male,Michael Sheen,2000--2014
The Last Station,2009,1,Leo Tolstoy,Author,White,0,Male,Christopher Plummer,2000--2014
The Soloist,2009,2,Nathaniel Ayers,Musician,African American,1,Male,Jamie Foxx,2000--2014
The Soloist,2009,2,Steve Lopez,Media,NA,0,Male,"Robert Downey, Jr.",2000--2014
The Young Victoria,2009,1,Victoria,Historical,White,0,Female,Emily Bunt,2000--2014
WhiteLightnin',2009,1,Jesco White,Other,NA,0,Male,Edward Hogg,2000--2014
21,2008,1,Jeff Ma,Other,Asian American,1,Male,Jim Sturgess,2000--2014
A Matador's Mistress,2008,2,Lupe Sino,Actress,Hispanic (White),0,Female,PenÌ©lope Cruz,2000--2014
A Matador's Mistress,2008,2,Manuel RodrÌ_guez SÌÁnchez,Athlete,Hispanic (White),0,Male,Adrien Brody,2000--2014
Bathory: Countess of Blood,2008,1,Elizabeth Bathory,Criminal,White,0,Female,Anna Friel,2000--2014
Bronson,2008,1,Charles Bronson,Criminal,NA,0,Male,Tom Hardy,2000--2014
Cadillac Records,2008,3,Etta James,Singer,African American,1,Female,BeyoncÌ© Knowles,2000--2014
Cadillac Records,2008,3,Muddy Water,Musician,African American,1,Male,Jeffrey Wright,2000--2014
Cadillac Records,2008,3,Leonard Chess,Musician,White,0,Male,Adrien Brody,2000--2014
Cass,2008,1,Cass Pennant,Other,Caribbean,1,Male,Nonso Anozie,2000--2014
Che: Part One,2008,1,Che Guevara,Activist,Hispanic (Latin American),0,Male,Benicio Del Toro,2000--2014
Che: Part Two,2008,1,Che Guevara,Activist,Hispanic (Latin American),0,Male,DemiÌÁn Bichir,2000--2014
Flash of Genius,2008,1,Robert Kearns,Other,NA,0,Male,Greg Kinnear,2000--2014
Hunger,2008,1,Bobby Sands,Activist,White,0,Male,Michael Fassbender,2000--2014
Little Ashes,2008,1,Salvador DalÌ_,Artist,Multi racial,1,Male,Robert Pattinson,2000--2014
Mesrine Part 1: Killer Instinct,2008,1,Jacques Mesrine,Criminal,White,0,Male,Vincent Cassel,2000--2014
Mesrine Part 2: Public Enemy #1,2008,1,Jacques Mesrine,Criminal,White,0,Male,Vincent Cassel,2000--2014
Milk,2008,1,Harvey Milk,Activist,White,0,Male,Sean Penn,2000--2014
Phantom Punch,2008,1,Sonny Liston,Athlete,African American,1,Male,Ving Rhames,2000--2014
Skin,2008,1,Sandra Laing,Other,African,1,Female,Sophie Okonedo,2000--2014
Telstar: The Joe Meek Story,2008,1,Joe Meek,Musician,White,0,Male,Con O'Neill,2000--2014
The Duchess,2008,1,Georgiana Cavendish,Other,White,0,Female,Keira Knightley,2000--2014
The Edge of Love,2008,1,Dylan Thomas,Author (poet),White,0,Male,Matthew Rhys,2000--2014
The Express,2008,1,Ernie Davis,Athlete,African American,1,Male,Rob Brown,2000--2014
The Longshots,2008,1,Jasmine Plummer,Athlete,African American,1,Female,Keke Palmer,2000--2014
The Other Boleyn Girl,2008,2,Anne Boleyn,Historical,White,0,Female,Natalie Portman,2000--2014
The Other Boleyn Girl,2008,2,Mary Boleyn,Historical,White,0,Female,Scarlett Johansson,2000--2014
The Red Baron,2008,1,Baron Manfred von Richthofen,Military,White,0,Male,Matthias SchweighÌ¦fer,2000--2014
Thomas Kinkade's Christmas Cottage,2008,1,Thomas Kinkade,Artist,White,0,Male,Jared Padalecki,2000--2014
W.,2008,1,George W. Bush,World leader,White,0,Male,Josh Brolin,2000--2014
A Mighty Heart,2007,2,Daniel Pearl,Journalist,White,0,Male,Dan Futterman,2000--2014
A Mighty Heart,2007,2,Mariane Pearl,Journalist,Multi racial,1,Female,Angelina Jolie,2000--2014
American Gangster,2007,1,Frank Lucas,Criminal,African American,1,Male,Denzel Washington,2000--2014
An American Crime,2007,2,Gertrude Baniszewski,Criminal,White,0,Female,Catherine Keener,2000--2014
An American Crime,2007,2,Sylvia Likens,Other,NA,0,Female,Ellen Page,2000--2014
Becoming Jane,2007,1,Jane Austen,Author,White,0,Female,Anne Hathaway,2000--2014
Breach,2007,1,Robert Hanssen,Criminal,White,0,Male,Chris Cooper,2000--2014
Charlie Wilson's War,2007,1,Charlie Wilson,Military,NA,0,Male,Tom Hanks,2000--2014
Control,2007,1,Ian Curtis,Musician,NA,0,Male,Sam Riley,2000--2014
Eichmann,2007,1,Adolf Eichmann,Military,White,0,Male,Thomas Kretschmann,2000--2014
Elizabeth: The Golden Age,2007,1,Elizabeth I of England,Historical,White,0,Female,Cate Blanchett,2000--2014
Freedom Writers,2007,1,Erin Gruwell,Other,White,0,Female,Hilary Swank,2000--2014
Gracie,2007,1,Elisabeth Shue,Athlete,White,0,Female,Carly Schroeder,2000--2014
I'm Not There.,2007,1,Bob Dylan,Musician,White,0,Male,-,2000--2014
Into the Wild,2007,1,Christopher McCandless,Athlete,NA,0,Male,Emile Hirsch,2000--2014
La Vie en Rose,2007,1,Ìädith Piaf.,Singer,White,0,Female,Marion Cotillard,2000--2014
Music Within,2007,1,Richard Pimentel,Activist,Multi racial,1,Male,Ron Livingston,2000--2014
Nightwatching,2007,1,Rembrandt,Artist,White,0,Male,Martin Freeman,2000--2014
Persepolis,2007,1,Marjane 'Marji' Satrapi,Activist,Middle Eastern,1,Female,Chiara Mastroianni,2000--2014
Rise of the Footsoldier,2007,1,Carlton Leach,Criminal,NA,0,Male,Ricci Harnett,2000--2014
Talk to Me,2007,1,"Ralph ""Petey"" Greene",Activist,African American,1,Male,Don Cheadle,2000--2014
The Assassination of Jesse James by the Coward Robert Ford,2007,2,Jesse James,Criminal,White,0,Male,Brad Pitt,2000--2014
The Assassination of Jesse James by the Coward Robert Ford,2007,2,Robert Ford,Criminal,NA,0,Male,Casey Affleck,2000--2014
The Color of Freedom,2007,1,James Gregory,Other,White,0,Male,Joseph Fiennes,2000--2014
The Diving Bell and the Butterfly,2007,1,Jean-Dominique Bauby,Media,White,0,Male,Mathieu Amalric,2000--2014
The Great Debaters,2007,1,Melvin Tolson,Academic,African American,1,Male,Denzel Washington,2000--2014
What We Do Is Secret,2007,1,Darby Crash,Singer,NA,0,Male,Shane West,2000--2014
When Did You Last See Your Father?,2007,1,Blake Morrison,Other,White,0,Male,Colin Firth,2000--2014
Alpha Dog,2006,1,Jesse James Hollywood,Criminal,NA,0,Male,Emile Hirsch,2000--2014
Amazing Grace,2006,1,William Wilberforce,Other,White,0,Male,Ioan Gruffudd,2000--2014
Bernard and Doris,2006,2,Bernard Lafferty,Other,White,0,Male,Ralph Fiennes,2000--2014
Bernard and Doris,2006,2,Doris Duke,Other,White,0,Female,Susan Sarandon,2000--2014
Catch a Fire,2006,1,Patrick Chamusso,Activist,African,1,Male,Derek Luke,2000--2014
Copying Beethoven,2006,1,Ludwig van Beethoven,Musician,White,0,Male,Ed Harris,2000--2014
El cantante,2006,1,HÌ©ctor Lavoe,Musician,Hispanic (Latin American),1,Male,Marc Anthony,2000--2014
Factory Girl,2006,1,Edie Sedgwick,Actress,White,0,Female,Sienna Miller,2000--2014
Find Me Guilty,2006,1,Jackie DiNorscio,Criminal,White,0,Male,Vin Diesel,2000--2014
Fur: An Imaginary Portrait of Diane Arbus,2006,1,Diane Arbus,Other,White,0,Female,Nicole Kidman,2000--2014
Glory Road,2006,1,Don Haskins,Athlete,NA,0,Male,"With: Josh Lucas, Derek Luke, Austin Nichols",2000--2014
Goya's Ghosts,2006,1,Francisco Goya,Artist,Hispanic (White),0,Male,Stellan SkarsgÌ´rd,2000--2014
Hollywoodland,2006,1,George Reeves,Actor,NA,0,Male,Ben Affleck,2000--2014
Infamous,2006,1,Truman Capote,Other,NA,0,Male,Toby Jones,2000--2014
Invincible,2006,1,Vince Papale,Athlete,NA,0,Male,Mark Wahlberg,2000--2014
Klimt,2006,1,Gustav Klimt,Artist,White,0,Male,John Malkovich,2000--2014
Marie Antoinette,2006,1,Marie Antoinette,Historical,White,0,Female,Kirsten Dunst,2000--2014
Miss Potter,2006,1,Beatrix Potter,Author,White,0,Female,RenÌ©e Zellweger,2000--2014
One Night with the King,2006,1,Hadassah (Esther),Historical,Middle Eastern (White),0,Female,Tiffany Dupont,2000--2014
Rescue Dawn,2006,1,Dieter Dengler,Military,White,0,Male,Christian Bale,2000--2014
Sixty Six,2006,1,Paul Weiland,Other,NA,0,Male,Gregg Sulkin,2000--2014
The Last King of Scotland,2006,1,Idi Amin,Other,African,1,Male,Forest Whitaker,2000--2014
The Pursuit of Happyness,2006,1,Christopher Gardner,Other,African American,1,Male,Will Smith,2000--2014
The Queen,2006,1,Queen Elizabeth II,Historical,White,0,Female,Helen Mirren,2000--2014
Capote,2005,1,Truman Capote,Author,NA,0,Male,Philip Seymour Hoffman,2000--2014
Cinderella Man,2005,1,James Braddock,Athlete,White,0,Male,Russell Crowe,2000--2014
Domino,2005,1,Domino Harvey,Other,White,0,Female,Keira Knightley,2000--2014
Get Rich or Die Tryin',2005,1,Curtis '50 Cent' Jackson,Singer,African American,1,Male,50 Cent,2000--2014
I Am a Sex Addict,2005,1,Caveh Zahedi,Actor,Middle Eastern,1,Male,Caveh Zahedi,2000--2014
Last Days,2005,1,Kurt Cobain,Musician,White,0,Male,Michael Pitt,2000--2014
Lords of Dogtown,2005,3,Jay Adams,Athlete,NA,0,Male,Emile Hirsch,2000--2014
Lords of Dogtown,2005,3,Tony Alva,Athlete,Hispanic (Latino),1,Male,Victor Rasuk,2000--2014
Lords of Dogtown,2005,3,Stacy Peralta,Athlete,NA,0,Male,John Robinson,2000--2014
Pierrepoint: The Last Hangman,2005,1,Albert Pierrepoint,Other,White,0,Male,Timothy Spall,2000--2014
Self Medicated,2005,1,Monty Lapica,Other,NA,0,Male,Monty Lapica,2000--2014
Stoned,2005,1,Brian Jones,Musician,White,0,Male,Leo Gregory,2000--2014
The New World,2005,1,Pocahontas,Historical,Native American,1,Female,Q'orianka Kilcher,2000--2014
The Notorious Bettie Page,2005,1,Bettie Page,Other,Multi racial,0,Female,Gretchen Mol,2000--2014
"The Prize Winner of Defiance, Ohio",2005,1,Evelyn Ryan,Other,NA,0,Female,Julianne Moore,2000--2014
The Rocket: The Legend of Rocket Richard,2005,1,"Maurice ""The Rocket"" Richard",Athlete,White,0,Male,Roy Dupuis,2000--2014
The World's Fastest Indian,2005,1,"Herbert James ""Burt"" Munro",Athlete,White,0,Male,Anthony Hopkins,2000--2014
Walk the Line,2005,1,Johnny Cash,Musician,White,0,Male,Joaquin Phoenix,2000--2014
Against the Ropes,2004,1,Jackie Kallen,Athlete,NA,0,Female,Meg Ryan,2000--2014
Alexander,2004,1,Alexander the Great,Historical,White,0,Male,Colin Farrell,2000--2014
Beyond the Sea,2004,1,Bobby Darin,Musician,White,0,Male,Kevin Spacey,2000--2014
Bobby Jones: Stroke of Genius,2004,1,Bobby Jones,Athlete,NA,0,Male,Jim Caviezel,2000--2014
Crutch,2004,1,Rob Moretti,Actor,NA,0,Male,Eben Gordon,2000--2014
De-Lovely,2004,1,Cole Porter,Musician,White,0,Male,Kevin Kline,2000--2014
Finding Neverland,2004,1,J.M. Barrie,Author,White,0,Male,Johnny Depp,2000--2014
Kinsey,2004,1,Alfred Kinsey,Academic,White,0,Male,Liam Neeson,2000--2014
Miracle,2004,1,Herb Brooks,Athlete,NA,0,Male,Kurt Russell,2000--2014
Modigliani,2004,1,Amedeo Modigliani,Artist,White,0,Male,Andy Garcia,2000--2014
Ray,2004,1,Ray Charles,Musician,African American,1,Male,Jamie Foxx,2000--2014
The Assassination of Richard Nixon,2004,1,Samuel Byck,Other,NA,0,Male,Sean Penn,2000--2014
The Aviator,2004,1,Howard Hughes,Other,NA,0,Male,Leonardo DiCaprio,2000--2014
The Life and Death of Peter Sellers,2004,1,Peter Sellers,Actor,White,0,Male,Geoffrey Rush,2000--2014
